album_id	name	billboard	artists	popularity	total_tracks	album_type	image_url
0PZqu8F6QNnOzSKJSD8ouU	Take It To The Limit (Expanded Edition)	Take It To The Limit	{'54bbmw5qZiMf23TTmm6ojR': 'Norman Connors'}	26	11	album	https://i.scdn.co/image/b81ae8a39a39ccbeb35eb772bdbfda6271a8674c
3jmTMUzsw4IDn8bQ7VM6t3	Tomcattin'	Tomcattin'	{'10rzK0sLCXsUlDhl8ed0MV': 'Blackfoot'}	35	10	album	https://i.scdn.co/image/f47952774d6384fa7fdcc4e669bc4b99abf26d9a
6sVMfY88I8a7xkmSaXCruy	Love Is Fair	Love Is Fair	{'67BqBdApdbZ0onglFqRoTg': 'Barbara Mandrell'}	17	10	album	https://i.scdn.co/image/f5df5c5da17b467e47429fc21a59bcd7172d585b
1BxJGQez8eRFmWQqHor7H3	Short Stories (Remastered)	Short Stories	{'5gS1uXayWA0WJPgcRqNIae': 'Jon & Vangelis'}	30	10	album	https://i.scdn.co/image/734e25f08d05cc6d241598d8f740368154057983
4AJ79vtgh1zNqZWyXmKK7s	Rhapsody And Blues	Rhapsody And Blues	{'3Bhgbs9kIwl8SuU0eIqN6b': 'The Crusaders'}	19	6	album	https://i.scdn.co/image/fcf0fa90e8fa8d64bfab4dd538eb3f7279cbd144
3RwQPKwYIkqGkN2xwH8ou1	Let's Get Serious	Let's Get Serious	{'1VDurPMbOKrNU8mcMP4X1P': 'Jermaine Jackson'}	15	7	album	https://i.scdn.co/image/9080291169ef1c762557c9f3ef9bc9661ac43128
6PdpY0vdqR1kGbJXYCdygU	Strikes Twice	Strikes Twice	{'7aRi9OzdA2ciputfuguaPK': 'Larry Carlton'}	16	8	album	https://i.scdn.co/image/bdb1af897d0fc20088173e8f0837d307f445145c
2w9ox8f1PSz30Ayanrm9C4	Cultosaurus Erectus	Cultosaurus Erectus	{'00tVTdpEhQQw1bqdu8RCx2': 'Blue Öyster Cult'}	38	9	album	https://i.scdn.co/image/f0fd4b8ed6c18f3559c1a71632870066ab782cb7
5AWDEEdFf7ab4X6HpfxLye	The Glow of Love (Original Album and Rare Tracks)	The Glow Of Love	{'2fJ2vi4PUSxyvYaeq0FTbE': 'Change'}	52	16	album	https://i.scdn.co/image/9ec328419170c808d792ddfa9648a0d2524a2a57
72GAjI3NqLFLAqG0T2qQoj	The Boys From Doraville	The Boys From Doraville	{'0WgyCbru4tXnMsbTmX4mFw': 'Atlanta Rhythm Section'}	14	9	album	https://i.scdn.co/image/a20343462cb45d596a7edc4e509db425882b5780
4l4u9e9jSbotSXNjYfOugy	Let It Bleed	Let It Bleed	{'22bE4uQ6baNwSHPVcDxLCe': 'The Rolling Stones'}	73	9	album	https://i.scdn.co/image/97071b2317676a9661aa703fe4a9415f5301d6ee
3Z9IvbRwLHwLXXBlPFKg3B	Keep The Fire	Keep The Fire	{'3Y3xIwWyq5wnNHPp5gPjOW': 'Kenny Loggins'}	49	9	album	https://i.scdn.co/image/986e0d186872b43f80637a746bde4bc7c9026d51
608GDFL7DNcTKUgOdkNXmI	Garden Of Love	Garden Of Love	{'0FrpdcVlJQqibaz5HfBUrL': 'Rick James'}	22	9	album	https://i.scdn.co/image/c0d5c2a479306de71839e5288135aa6d87d22be0
2vzWBCI7jFSrHzdJgnBWhg	One Way Featuring Al Hudson	One Way Featuring Al Hudson	{'001aJOc7CSQVo3XzoLG4DK': 'One Way'}	22	6	album	https://i.scdn.co/image/6a2c05d59f995de5cd10acc714fc8ac16a0f4a97
6uIizyHYBxUUp3I76LQ8cV	21 At 33	21 At 33	{'3PhoLpVuITZKcymswpck5b': 'Elton John'}	41	9	album	https://i.scdn.co/image/f9914a4f43d5b8ccc348c7190f1ee83ece52f968
4OgWtFAoCUXLHQ1HpUIQ24	Magnificent Madness	Magnificent Madness	{'6HkwRgGXuqTufwpEh2dwGK': 'John Klemmer'}	28	8	album	https://i.scdn.co/image/d23290c5b51d82226f4a821397045070d8a68ded
0zDSh2NTJQXPcp763B6a9K	Bluegrass - Award Winners	Winners	{'0LyfQWJT6nXafLPZqxe9Of': 'Various Artists'}	24	20	compilation	https://i.scdn.co/image/00eefbd0e9c9e0a1aa15df13c167ad0d012f3992
